content_id,tripcom_hotel_id
136453,4510307
137348,58066657
137368,7090275
137369,1564948
137476,131769199
137814,9196960
137826,11558095
137957,686132
138017,9034541
138019,47991033
138184,988329
138185,1471135
138195,684906
138594,9033253
138597,7078350
138935,45923925
139008,686107
139854,9034951
139856,9196363
139860,81944587
142713,1301880
142943,988336
142946,986645
142948,988312
142957,988281
142965,992229
142968,2543270
142970,2104815
142972,839230
142976,9356809
143025,988290
143036,992226
143120,4036155
232287,988307
397635,5859175
397643,6512823
583141,6475676
660876,5006732
719643,2997996
733414,7913439
733422,8020272
733516,120832055
733540,48011667
733569,9491602
733594,1828760
733613,8501942
733622,58043802
733684,8023925
733784,2104159
733799,15811358
733924,114841780
735314,7686882
735781,7804573
824811,1502663
904802,76227830
905600,13907047
906173,123970166
970675,22830478
971331,8004527
972415,8056771
973990,71497386
977101,114306735
978165,684911
978214,71497400
980356,133592051
983958,6135305
984562,2858403
984611,1274058
1348840,2904426
1403482,992231
1821483,43842500
1846473,992239
1853848,103826388
1882504,2857768
1887546,119521062
1888034,21875525
1893137,686291
1893993,77292703
1894943,21845201
1896032,1471047
1897905,8039699
1898255,1180054
1905280,1739933
1905844,6513072
1906127,9196552
1932636,1544245
1979715,1979709
1981890,2106559
2007416,1458633
2019719,1471097
2038553,2605563
2046954,1385458
2358196,6140549
2374023,10821326
2382246,3937413
2405466,117570739
2405964,3912489
2406368,134195901
2411625,4548893
2498637,118885872
2499031,1666708
2528102,1735721
2552837,19945214
2561880,12093236
2561909,13961962
2561932,7584775
2594519,1564933
2605527,6513003
2621853,2803973
2621955,76227470
2621969,2022250
2623005,684960
2623014,21842992
2623827,100386385
2624249,28011928
2626055,4397283
2626708,5620366
2626800,10731899
2627229,21861056
2627908,22086258
2627965,7237215
2634320,2510692
2667498,135062356
2667643,2850432
2699343,133660431
2699863,45807353
2716736,1875914
2718006,71938305
2751860,6532402
2755497,1502208
2757210,8361667
2766781,6633407
2796937,64242246
2814168,114309536
2814169,3794154
2819964,68385630
2822959,5227006
2847188,4033882
2847272,1320054
2852563,3912580
2852581,76394819
2858304,6129461
2876795,64242246
2917270,1979830
2918447,18047640
2918548,88626305
2926949,7624821
2948165,92386774
2991120,124826831
3031022,64243946
3031466,21845898
3031581,112850144
3076367,687866
3076375,39888477
3076381,5708544
3076392,126691514
3076441,5768971
3076447,988332
3076459,2706083
3076467,2850628
3076478,1982127
3076484,76224680
3076491,10576838
3079902,5434143
3079917,2999124
3079932,21858172
3079939,2998216
3079952,21873444
3079965,684952
3079973,5073710
3079994,17448775
3080046,1985800
3080382,4033854
3082119,117568973
3084957,4981710
3084988,15690461
3089161,1486114
3089169,9637395
3089186,7090954
3089195,5215457
3090896,7629522
3344565,107203613
3482430,80451652
3515241,5931695
3520495,28011928
4058390,117574171
4081269,94311150
