zone,daytype,hour,k,n_pairs,source
ALL,weekday,0,1.0159654211695583,2624,fitted_route
ALL,weekday,1,1.007587002006829,2624,fitted_route
ALL,weekday,2,1.005612438444603,2624,fitted_route
ALL,weekday,3,1.002841273611832,2624,fitted_route
ALL,weekday,4,1.0,2624,fitted_route
ALL,weekday,5,1.0169435841037369,2624,fitted_route
ALL,weekday,6,1.0509764911042636,2624,fitted_route
ALL,weekday,7,1.0959800273181795,2624,fitted_route
ALL,weekday,8,1.1650785159305164,2624,fitted_route
ALL,weekday,9,1.1816130107653082,2624,fitted_route
ALL,weekday,10,1.2034365390090525,2624,fitted_route
ALL,weekday,11,1.2225463941656112,2624,fitted_route
ALL,weekday,12,1.2182957571265858,2624,fitted_route
ALL,weekday,13,1.2150170036013948,2624,fitted_route
ALL,weekday,14,1.2275234371898414,2624,fitted_route
ALL,weekday,15,1.2291854686551256,2624,fitted_route
ALL,weekday,16,1.23463737686787,2624,fitted_route
ALL,weekday,17,1.2692969368505524,2624,fitted_route
ALL,weekday,18,1.2827460075177681,2624,fitted_route
ALL,weekday,19,1.1838609595460379,2624,fitted_route
ALL,weekday,20,1.1648264186509958,2624,fitted_route
ALL,weekday,21,1.127331153552046,2624,fitted_route
ALL,weekday,22,1.0906156721465576,2624,fitted_route
ALL,weekday,23,1.0528109053477483,2624,fitted_route
ALL,weekend,0,1.0202618151289056,2624,fitted_route
ALL,weekend,1,1.0062513553563683,2624,fitted_route
ALL,weekend,2,1.0068918566261043,2624,fitted_route
ALL,weekend,3,1.005320951266045,2624,fitted_route
ALL,weekend,4,1.0053939610477198,2624,fitted_route
ALL,weekend,5,1.024544434969167,2624,fitted_route
ALL,weekend,6,1.0491932535577457,2624,fitted_route
ALL,weekend,7,1.0780162560567446,2624,fitted_route
ALL,weekend,8,1.1018618602609351,2624,fitted_route
ALL,weekend,9,1.1397630542097654,2624,fitted_route
ALL,weekend,10,1.1712331762008636,2624,fitted_route
ALL,weekend,11,1.2117980467732083,2624,fitted_route
ALL,weekend,12,1.2146576487379193,2624,fitted_route
ALL,weekend,13,1.2133379101433528,2624,fitted_route
ALL,weekend,14,1.209419127531461,2624,fitted_route
ALL,weekend,15,1.2067437400091512,2624,fitted_route
ALL,weekend,16,1.199172665773764,2624,fitted_route
ALL,weekend,17,1.2100202618630997,2624,fitted_route
ALL,weekend,18,1.1960441954560759,2624,fitted_route
ALL,weekend,19,1.168928802314607,2624,fitted_route
ALL,weekend,20,1.161571932279216,2624,fitted_route
ALL,weekend,21,1.1330058420178117,2624,fitted_route
ALL,weekend,22,1.0937939873051765,2624,fitted_route
ALL,weekend,23,1.055897110246796,2624,fitted_route
cross,weekday,0,1.0166656329519328,962,reference_route
cross,weekday,1,1.0089036451559057,962,reference_route
cross,weekday,2,1.0064780060501635,962,reference_route
cross,weekday,3,1.0042901754088442,962,reference_route
cross,weekday,4,1.0,962,reference_route
cross,weekday,5,1.0214660606285735,962,reference_route
cross,weekday,6,1.0452440967441603,962,reference_route
cross,weekday,7,1.0812354917561207,962,reference_route
cross,weekday,8,1.130297920522997,962,reference_route
cross,weekday,9,1.1414107816331025,962,reference_route
cross,weekday,10,1.1653537395885403,962,reference_route
cross,weekday,11,1.1858363518641424,962,reference_route
cross,weekday,12,1.1770924893497816,962,reference_route
cross,weekday,13,1.1728719016239524,962,reference_route
cross,weekday,14,1.1816548478020392,962,reference_route
cross,weekday,15,1.1813662078942846,962,reference_route
cross,weekday,16,1.1831191900290363,962,reference_route
cross,weekday,17,1.201087682763691,962,reference_route
cross,weekday,18,1.1997950079758986,962,reference_route
cross,weekday,19,1.1369754962545993,962,reference_route
cross,weekday,20,1.137310782809835,962,reference_route
cross,weekday,21,1.1081800334905778,962,reference_route
cross,weekday,22,1.0791717491583241,962,reference_route
cross,weekday,23,1.051916585700531,962,reference_route
cross,weekend,0,1.0176548495900075,962,reference_route
cross,weekend,1,1.0059676079100295,962,reference_route
cross,weekend,2,1.006722729528251,962,reference_route
cross,weekend,3,1.0055630850774837,962,reference_route
cross,weekend,4,1.004792547071059,962,reference_route
cross,weekend,5,1.0284636348304161,962,reference_route
cross,weekend,6,1.0457319235917484,962,reference_route
cross,weekend,7,1.0685256411987538,962,reference_route
cross,weekend,8,1.0861863665226783,962,reference_route
cross,weekend,9,1.1116416396896716,962,reference_route
cross,weekend,10,1.1441882181441798,962,reference_route
cross,weekend,11,1.1804820763387562,962,reference_route
cross,weekend,12,1.178776595507823,962,reference_route
cross,weekend,13,1.1768548517737738,962,reference_route
cross,weekend,14,1.1720969914085462,962,reference_route
cross,weekend,15,1.1689384445097757,962,reference_route
cross,weekend,16,1.1599928451244175,962,reference_route
cross,weekend,17,1.161887569508636,962,reference_route
cross,weekend,18,1.1524092136616306,962,reference_route
cross,weekend,19,1.1279664233451567,962,reference_route
cross,weekend,20,1.1360429233848235,962,reference_route
cross,weekend,21,1.1105424056325615,962,reference_route
cross,weekend,22,1.0812219854282419,962,reference_route
cross,weekend,23,1.0561605642304288,962,reference_route
jejusi,weekday,0,1.0232315739283857,1134,fitted_route
jejusi,weekday,1,1.0132683015469308,1134,fitted_route
jejusi,weekday,2,1.0096472084178303,1134,fitted_route
jejusi,weekday,3,1.0052549682022593,1134,fitted_route
jejusi,weekday,4,1.0,1134,fitted_route
jejusi,weekday,5,1.010318771465706,1134,fitted_route
jejusi,weekday,6,1.0643827122580196,1134,fitted_route
jejusi,weekday,7,1.140925318553861,1134,fitted_route
jejusi,weekday,8,1.2757014668991968,1134,fitted_route
jejusi,weekday,9,1.2896833066906552,1134,fitted_route
jejusi,weekday,10,1.2993808406839507,1134,fitted_route
jejusi,weekday,11,1.3249619347753256,1134,fitted_route
jejusi,weekday,12,1.322652868978106,1134,fitted_route
jejusi,weekday,13,1.3262552947338813,1134,fitted_route
jejusi,weekday,14,1.3437066335592658,1134,fitted_route
jejusi,weekday,15,1.353351629715056,1134,fitted_route
jejusi,weekday,16,1.366944941363546,1134,fitted_route
jejusi,weekday,17,1.4285847423516858,1134,fitted_route
jejusi,weekday,18,1.471498430506709,1134,fitted_route
jejusi,weekday,19,1.281066434596404,1134,fitted_route
jejusi,weekday,20,1.2239624355930276,1134,fitted_route
jejusi,weekday,21,1.1769442663513021,1134,fitted_route
jejusi,weekday,22,1.1176272729966832,1134,fitted_route
jejusi,weekday,23,1.0576226462596254,1134,fitted_route
jejusi,weekend,0,1.034717001044812,1134,fitted_route
jejusi,weekend,1,1.0149318871278787,1134,fitted_route
jejusi,weekend,2,1.013442468504093,1134,fitted_route
jejusi,weekend,3,1.0110248289029555,1134,fitted_route
jejusi,weekend,4,1.0103160642830926,1134,fitted_route
jejusi,weekend,5,1.0195640527243097,1134,fitted_route
jejusi,weekend,6,1.057492853939653,1134,fitted_route
jejusi,weekend,7,1.0970805668447063,1134,fitted_route
jejusi,weekend,8,1.142476152311375,1134,fitted_route
jejusi,weekend,9,1.1999474172964701,1134,fitted_route
jejusi,weekend,10,1.23997498515353,1134,fitted_route
jejusi,weekend,11,1.2924031250392223,1134,fitted_route
jejusi,weekend,12,1.3102130138797787,1134,fitted_route
jejusi,weekend,13,1.3148826836685368,1134,fitted_route
jejusi,weekend,14,1.3063220086069132,1134,fitted_route
jejusi,weekend,15,1.3015732915967027,1134,fitted_route
jejusi,weekend,16,1.3010596976289994,1134,fitted_route
jejusi,weekend,17,1.30816085460576,1134,fitted_route
jejusi,weekend,18,1.2857298869311902,1134,fitted_route
jejusi,weekend,19,1.2419467121950611,1134,fitted_route
jejusi,weekend,20,1.2125184053184768,1134,fitted_route
jejusi,weekend,21,1.1706200120218817,1134,fitted_route
jejusi,weekend,22,1.1142264612854715,1134,fitted_route
jejusi,weekend,23,1.0583132920608833,1134,fitted_route
seogwipo,weekday,0,1.0135806987549438,528,reference_route
seogwipo,weekday,1,1.005418665252747,528,reference_route
seogwipo,weekday,2,1.007193246791422,528,reference_route
seogwipo,weekday,3,1.0047312008657698,528,reference_route
seogwipo,weekday,4,1.007193246791422,528,reference_route
seogwipo,weekday,5,1.02409402872918,528,reference_route
seogwipo,weekday,6,1.03817170431613,528,reference_route
seogwipo,weekday,7,1.0594768411112834,528,reference_route
seogwipo,weekday,8,1.096052909639407,528,reference_route
seogwipo,weekday,9,1.1069846500742184,528,reference_route
seogwipo,weekday,10,1.128878171593496,528,reference_route
seogwipo,weekday,11,1.1625252415449812,528,reference_route
seogwipo,weekday,12,1.1626927037874553,528,reference_route
seogwipo,weekday,13,1.1577247427763113,528,reference_route
seogwipo,weekday,14,1.1574138564517369,528,reference_route
seogwipo,weekday,15,1.1572065237446787,528,reference_route
seogwipo,weekday,16,1.1598325726743908,528,reference_route
seogwipo,weekday,17,1.1587599812160096,528,reference_route
seogwipo,weekday,18,1.1645686644699351,528,reference_route
seogwipo,weekday,19,1.1412021820196818,528,reference_route
seogwipo,weekday,20,1.1414293066888104,528,reference_route
seogwipo,weekday,21,1.1110498423440853,528,reference_route
seogwipo,weekday,22,1.0753134400412108,528,reference_route
seogwipo,weekday,23,1.0493197985511782,528,reference_route
seogwipo,weekend,0,1.0118422200279003,528,reference_route
seogwipo,weekend,1,1.0016271786190518,528,reference_route
seogwipo,weekend,2,1.0,528,reference_route
seogwipo,weekend,3,1.0040505552225996,528,reference_route
seogwipo,weekend,4,1.0055025850625021,528,reference_route
seogwipo,weekend,5,1.0332221977239258,528,reference_route
seogwipo,weekend,6,1.045852294078067,528,reference_route
seogwipo,weekend,7,1.0629463299393815,528,reference_route
seogwipo,weekend,8,1.0722859618046545,528,reference_route
seogwipo,weekend,9,1.0934003702442125,528,reference_route
seogwipo,weekend,10,1.1190403167981469,528,reference_route
seogwipo,weekend,11,1.1465458405613813,528,reference_route
seogwipo,weekend,12,1.1581079362614954,528,reference_route
seogwipo,weekend,13,1.1537865890625008,528,reference_route
seogwipo,weekend,14,1.1531460704904049,528,reference_route
seogwipo,weekend,15,1.149769008824001,528,reference_route
seogwipo,weekend,16,1.1432786155264951,528,reference_route
seogwipo,weekend,17,1.1493889180719912,528,reference_route
seogwipo,weekend,18,1.154747713536818,528,reference_route
seogwipo,weekend,19,1.1474658344541655,528,reference_route
seogwipo,weekend,20,1.1464086083531482,528,reference_route
seogwipo,weekend,21,1.1159938910042668,528,reference_route
seogwipo,weekend,22,1.0810921522397523,528,reference_route
seogwipo,weekend,23,1.0543216488591198,528,reference_route
