content_id,content_type_id,content_type_name,title,address,zipcode,longitude,latitude,overview,homepage,contact,hours,fees,parking,closed_days,restroom,credit_card,detail_information,region_code,signgu_code,large_category_code,large_category_name,middle_category_code,middle_category_name,small_category_code,small_category_name,Score_Nature,Score_Food,Score_Photo,Score_Culture,Score_Activity,Score_Shopping,market_days,sale_items,stay_time_minutes,stay_min,stay_max,stay_src,satisfaction_score,qual,qual_rel,qual_category,satisfaction_src
1861656,12,관광지,1100고지습지,제주특별자치도 서귀포시 1100로 1555,63554,126.4630149420,33.3576728826,"1100고지 습지는 한라산 고원지대에 형성된 대표적인 산지습지로서 16개 이상의 습지가 불연속적으로 분포하고 있으며, 이 습지들을 따라 2009년 습지보호지역이 설정되었으며 같은 해에 람사르 습지에 등록되었다. 1100고지 습지의 동물과 식생환경에 대한 안내문이 탐방로 곳곳에 설치되어 있어 습지의 정보를 알 수 있다. 이곳에는 한라산에서만 서식하는 멸종위기 1급의 야생동물인 매와 야생생물 등이 존재하고 있으며, 습지의 낮은 곳에 고여있는 물은 야생동물의 식수원 역할을 하고 있다. 습지 안에는 나무로 이루어진 자연 생태 탐방로가 있어 걸으면서 습지를 관람할 수 있다. / (출처 : 비짓제주 홈페이지)",https://www.visitjeju.net,제주시 관광정보센터 064-740-6000,상시 개방,무료,가능,연중무휴,Unknown,없음,입 장 료: 무료,50,130,NA,자연관광,NA03,자연생태,NA030400,생태습지,100,0,80,50,70,0,,,30,15,45,observed,0.9062,1.0,0.4512,0.829,blend
4039339,12,관광지,1100도로,제주특별자치도 서귀포시 대포동 산6-2,697825,126.458399,33.301492,"제주특별자치도 서귀포시에 위치한 1100도로는 한라산 중턱을 가로지르는 드라이브 코스로 유명한 곳이다. 한라산 서쪽 해발 1,100m를 정점으로 하는 곳이라 이름도 1100도로다. 사계절 내내 경관이 아름다워 제주 여행 필수 코스로 자리매김하고 있다. 봄과 여름에는 푸릇푸릇한 모습을, 겨울에는 하얀 눈으로 뒤덮인 아름다운 설경도 마주할 수 있다.",Unknown,서귀포종합관광안내소 064-732-1330,상시 개방,무료,불가능,연중무휴,Unknown,Unknown,입장료: 무료,50,130,NA,자연관광,NA05,기타자연관광,NA050100,기타자연관광,90,0,90,0,70,0,,,30,15,45,category,0.8465,,0.0,0.8465,category
2740067,12,관광지,5.16 도로숲터널,제주특별자치도 서귀포시 남원읍 신례천로 267-110,63608,126.6304291801,33.3140386947,"5.16 도로숲터널은 제주에서 최초로 개통된 국도로 제주시와 서귀포를 이어주는 길이다. 한라산 성판악 휴게소를 기점으로 서귀포 방향으로 구불구불한 길을 따라가다 보면 2.6㎞ 지점에서부터 약 1.2㎞가량에 이르는 도로 주변에 상록수와 낙엽수가 아치형으로 도로를 감싸고 있는 듯한 숲 터널을 이루고 있다. 숲 터널이 시작되는 북쪽 입구에는 ‘천천히 달리면 더 아름다운 길’이라는 문구가 적힌 표지판이 설치되어 있다. 이곳은 도로의 폭이 좁고 커브가 많아 사고의 위험이 있으니 주의해야 하며, 아름다운 숲 터널의 풍경을 감상하기 위해서도 천천히 서행해야 한다. 제주의 한라산 산기슭에 자리하여 사계절 내내 다양한 자연의 모습을 만날 수 있다. 길 양쪽에서 뻗어 나와 하늘을 감싸 안듯 구부러진 나무들이 여름엔 시원한 그늘을, 가을엔 붉은 단풍을, 겨울엔 눈부신 설경을 선사한다. 아름다운 산속 터널을 천천히 달리며 제주의 사계절을 느껴볼 수 있는 숲 터널이다.",비짓제주 https://www.visitjeju.net,064-710-8590,상시개방,무료,불가능,연중무휴,Unknown,Unknown,입 장 료: 무료,50,130,VE,문화관광,VE01,랜드마크관광,VE010600,터널,90,0,90,50,40,0,,,30,15,45,category,0.7774,,0.0,0.7774,category
1884191,12,관광지,가마오름,제주특별자치도 제주시 한경면 청수리 1205,63007,126.2466098987,33.3057279944,"제주시 한경면 수룽이마을 뒷산으로 마을 남동쪽 약 500m 지점에 있는 오름이다. 수룡동 마을안길로 들어가면 쉽게 오를 수 있다. 오름산모양이 가마솥을 엎어 놓은 모양과 같이 생겼다 하여 가마오름이라 부르고 있으나, 학자들의 어원적 해석에 의하면 가마는 감에서 나온 것이고, 감은 북방어로 신 또는 신성하고 거룩하다는 뜻으로 해석하고 있다. 즉, 가마오름은 신령스러운 산이라는 뜻으로 풀이하고 있다. 주봉인 남쪽 봉우리를 중심으로 북쪽으로 뻗은 등성마루에는 언덕 같은 봉우리가 솟아 있고, 완만한 동사면은 북동쪽으로 말굽형 화구를 이루며 얕고 넓게 벌어져 있으며 붉은 송이로 이루어져 있다. 해송과 잡목이 어우러져 숲을 이루고 있으며, 풀밭에는 술패렝이꽃이 여기저기 보인다. 이 오름에는 일제 강점기 때 일본군이 주둔했던 곳으로, 지금도 인공적으로 파인 수직굴이 여러 개 산재해 있다.",http://www.visitjeju.net,제주시 관광정보센터 064-740-6000,※ 일부 출입이 제한되거나 통제되므로 방문 시 전화문의 요망,무료,불가능,연중무휴,없음,없음,화장실: 없음 | 입 장 료: 무료,50,110,NA,자연관광,NA01,자연경관(산),NA010100,"산, 고개, 오름, 봉우리",80,0,70,60,60,0,,,60,45,75,category,0.8706,,0.0,0.8706,category
1884505,12,관광지,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 가시리,63623,126.6876111209,33.4018299117,"가문이오름은 제주특별자치도 제주시 구좌읍 송당리에 있는 봉우리이며, 성불오름 바로 서쪽에 나지막하게 자리한 오름을 이른다. 붉은오름과 마주하고 있는 이곳은 오름의 중턱에 삼나무와 해송이 숲이 우거져 있으며 그 위로는 낙엽수림이 있다. 가문이오름이란 이름은 숲이 우거져 검게 보인다고 하여 지어진 것이다. 말굽형 분화구 모양인 오름에는 흰 노루귀, 분홍 노루귀 등의 생소한 야생화가 자라고 있으며, 분화구 내에 울창한 숲이 음산한 기운을 띠고 있어 신령스러운 산이라는 의미도 있다. 붉은오름뿐만 아니라 구두리오름, 쳇망오름 등 여러 오름과 함께 오름 군락도 형성되어 같이 둘러보기에 좋다. 근처 가 볼 만한 곳으로는 물영아리오름, 부영컨드리클럽이 있다.",http://www.visitjeju.net,064-760-2913,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,무료,불가능,연중무휴,Unknown,없음,촬영장소: MBC 드라마 '태왕사신기' | 입 장 료: 무료,50,130,NA,자연관광,NA01,자연경관(산),NA010100,"산, 고개, 오름, 봉우리",90,0,80,20,60,0,,,60,45,75,category,0.8706,,0.0,0.8706,category
1884521,12,관광지,가새기오름,제주특별자치도 제주시 오라삼동 2848,63148,126.5038611983,33.4893700755,"가새기오름은 오라동 연미마을 북서쪽에 가로누운 자그마한 화구 없는 원추형 화산체로서, 남북으로 긴 등성이에 해송이 우거져 숲을 이루고 있다. 풍수설에 의하면 이 오름 남쪽에 있는 민오름이 개의 형국이고, 그 밑에 있는 이 오름은 어미개에 딸린 강아지의 형국이라는 것에서 [개새끼오름]이라 불리고 있다. 어미개와 강아지가 어울린 모습에 개의 젖가슴을 상징하는 지세라 하여 북서쪽 오름 자락은 예로부터 길지로 꼽혀왔다고 한다.",https://www.visitjeju.net/kr,제주관광정보센터 064-740-6000,상시 개방,무료,불가능,연중무휴,Unknown,Unknown,입 장 료: 무료,50,110,NA,자연관광,NA01,자연경관(산),NA010100,"산, 고개, 오름, 봉우리",80,0,70,40,50,0,,,60,45,75,category,0.8706,,0.0,0.8706,category
1885746,12,관광지,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,63622,126.7231832338,33.3931758821,"가세는 제주도 방언으로 가위라는 뜻을 의미한다. 표선면에 위치한 가세오름은 산봉우리가 두 갈래로 나누어진 말굽형의 오름이다. 또한 오름의 형태가 가위처럼 보인다 하여 가세오름으로 불린다. 가세 오름에는 5개의 암설류인 봉우리인 염통 오름, 족은 염통, 달 모루, 진동산, 숨골왓이 있다. 하지만 이 봉우리들은 덤불로 가로막고 있으며 탐방로도 있지 않아 발견하기는 어렵다. 가세 오름 초행길은 안내 표지판이 있으나 탐방로가 복잡하여 헤맬 수 있으니 주의를 요한다. 또한 가시덤불로 인해 상처를 입을 위험이 있어 긴 바지를 입고 가는 것이 좋다. 북쪽 봉우리에는 이동통신사 기지국이 있고 남쪽 봉우리 정상에는 초소가 있어 이동 위치를 쉽게 파악할 수 있다. 오름의 정상에 도착하여 경방 초소에 오르면 가시리의 오름 군락들을 조망할 수 있다.",https://www.visitjeju.net,제주시 관광정보센터 064-740-6000,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망,무료,가능,연중무휴,Unknown,없음,입 장 료: 무료,50,130,NA,자연관광,NA01,자연경관(산),NA010100,"산, 고개, 오름, 봉우리",90,0,80,10,70,0,,,60,45,75,category,0.8706,,0.0,0.8706,category
3026711,12,관광지,가시리국산화풍력발전단지,제주특별자치도 서귀포시 표선면 녹산로 464-78,63622,126.7341100468,33.3939370848,"제주도 서귀포시 동남쪽 끝에 위치한 표선면 가시리는 제주도 내에서 아직 개발되지 않은 지역이라고 할 수 있는데 2009년 1월 국내 최초 지역주민 참여 방식으로 진행된 풍력발전단지 부지 선정 공모에서 최종 부지로 낙점됨에 따라 마을이 새롭게 변화되어 가고 있다. 가시리국산화풍력발전단지는 광활한 평원에 유채꽃단지가 조성되어 있는 가시리 공동목장에 들어서 있다. 봄이 되면 유채꽃과 벚꽃의 콜라보레이션을 즐길 수 있는 드라이브 코스로 유명한 녹산로 유채꽃길과 가까운 곳에 있다. 이곳 바람들판의 가을녁엔 빛나는 억새의 향연과 커다란 풍력발전기가 돌아가는 풍경을 볼 수 있는데 이국적인 아름다움을 선사한다. 이곳에서는 뒤로 보이는 풍력발전단지를 배경 삼아 한라산, 돌담과 어우러진 제주 조랑말들과 소들이 평온하게 풀을 뜯어 먹는 장면을 즐길 수 있다. 픙력단지 입구 왼쪽으로는 유채꽃프라자로 가는 길이고 이곳에서 차 한잔하며 카페 계단으로 올라가서 보는 목가적인 경치도 좋다. 카페 뒤쪽에도 유채꽃 단지가 있다.",Unknown,제주 서귀포시 종합관광안내소 064-732-1330,상시 개방,무료,가능,연중무휴,Unknown,Unknown,촬영장소: 바퀴 달린 집4 제주편 촬영(연날리기 장소) | 입 장 료: 무료,50,130,EX,체험관광,EX06,산업관광,EX060900,친환경/신재생에너지,90,40,90,50,60,10,,,75,60,90,blend,0.8444,1.0,0.1813,0.8099,blend
1885754,12,관광지,가시오름,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,63507,126.2500169782,33.2236315617,"가시오름은 서귀포시 대정읍 동일리에 있는 오름으로 옛날부터 오름 곳곳에 가시나무(물참나무)가 많이 자라고 있어 가시오름이라는 이름이 붙여졌다. 오름의 정상에는 남서쪽으로 벌어진 말굽형 분화구가 있다. 오름의 동남쪽은 가파르고 서북쪽은 대체로 완만한 편이며 높지 않아 정상까지 오르기 쉽다. 오름 탐방로가 잘 조성되어 있고 주변 모슬포오름과 대정읍 일대를 관망하는 풍경이 좋은 곳이다. 정상부까지 농로가 나 있고, 잡목과 함께 숲이 우거지고 그사이에 예덕나무, 보리수나무 등이 식생 하며, 일부 사면에는 중턱까지 경작지가 조성되어 있다. 내비게이션에 가시오름을 치고 가면 남서쪽 방향 우사 근처 도로변에 주차 가능하고, 다른 번지수 주소 대정동 동일리를 치고 가면 반대편 주차장에 주차 가능하다.",Unknown,제주관광정보센터 064-740-6000,상시 개방,무료,가능,연중무휴,Unknown,Unknown,입 장 료: 무료,50,130,NA,자연관광,NA01,자연경관(산),NA010100,"산, 고개, 오름, 봉우리",90,0,80,10,70,0,,,60,45,75,category,0.8706,,0.0,0.8706,category
3410648,12,관광지,가을동화 감귤밭,제주특별자치도 서귀포시 남원읍 하례로 504,63607,126.61653673940317,33.291322899887895,"가을동화 감귤밭은 남녀노소 아이들과 어른들 가릴 것 없이 누구나 즐겁게 귤 따기를 체험할 수 있는 곳이다. 각종 다양한 TV 프로그램에도 출연했으며, 싱그러운 귤 맛과 아름다운 풍경을 자랑한다. 이곳에서 재배되는 귤은 맛이 좋기로 유명한데 그 이유는 바로 일반적인 감귤 생산 방식이 아닌 타이벡 감귤 재배 방식을 적용하고 있기 때문이다. 귤 따기 체험과 함께 맛있는 귤을 맛보고 싶다면 방문해 보기에 좋다.",Unknown,010-4518-3678,10:00~17:00 (입장 마감 16:30),"[타이벡 감귤따기 체험 3kg] / - 20,000원 / [타이벡 감귤 무제한 시식] / - 10,000원 / ※ 이용요금은 변동될 수 있으므로 네이버 플레이스 참고",가능,2월~8월 ※ 방문 전 전화문의 요망,있음,Unknown,"시설이용료: [타이벡 감귤따기 체험 3kg] / - 20,000원 / [타이벡 감귤 무제한 시식] / - 10,000원 / ※ 이용요금은 변동될 수 있으므로 네이버 플레이스 참고 | 화장실: 있음",50,130,EX,체험관광,EX03,농.산.어촌 체험,EX030300,체험농장,80,60,70,10,90,20,,,30,15,45,category,0.7753,,0.0,0.7753,category
